text,label
aku sangat bahagia,senang
hari ini menyenangkan sekali,senang
aku tersenyum bahagia,senang
saya merasa kecewa,sedih
aku sedih ditinggal teman,sedih
perasaanku campur aduk dan sedih,sedih
aku marah sekali hari ini,marah
saya emosi dengan kejadian tadi,marah
aku kesal karena dibohongi,marah
aku takut sendiri di rumah,takut
merasa cemas akan ujian besok,takut
aku khawatir tidak lulus,takut
aku kaget sekali mendengar itu,terkejut
wah aku benar-benar terkejut,terkejut
aku tidak menyangka hal itu terjadi,terkejut
